国名,英語国名,コード
アイスランド,Iceland,ISL
アイルランド,Ireland,IRL
アゼルバイジャン,Azerbaijan,AZE
アフガニスタン,Afghanistan,AFG
アラブ首長国連邦,United Arab Emirates,ARE
アルジェリア,Algeria,DZA
アルゼンチン,Argentina,ARG
アルバ,Aruba,ABW
アルバニア,Albania,ALB
アルメニア,Armenia,ARM
アンギラ,Anguilla,AIA
アンゴラ,Angola,AGO
アンティグア・バーブーダ,Antigua and Barbuda,ATG
アンドラ,Andorra,AND
イエメン,Yemen,YEM
イスラエル,Israel,ISR
イタリア,Italy,ITA
イラク,Iraq,IRQ
イラン,Iran,IRN
インド,India,IND
インドネシア,Indonesia,IDN
ウェーク島,Wake Island,WAK
ウガンダ,Uganda,UGA
ウクライナ,Ukraine,UKR
ウズベキスタン,Uzbekistan,UZB
ウルグアイ,Uruguay,URY
英国,United Kingdom,GBR
英領インド洋地域,British Indian Ocean Territory,IOT
英領バージン諸島,"Virgin Islands, British",VGB
エクアドル,Ecuador,ECU
エジプト,Egypt,EGY
エストニア,Estonia,EST
エスワティニ,ESWATINI,SWZ
エチオピア,Ethiopia,ETH
エリトリア,Eritrea,ERI
エルサルバドル,El Salvador,SLV
オーストラリア,Australia,AUS
オーストリア,Austria,AUT
オマーン,Oman,OMN
オランダ,Netherlands,NLD
オランダ領アンティル,Netherlands Antilles,ANT
カーボヴェルデ,Cape Verde,CPV
カザフスタン,Kazakhstan,KAZ
カシミール,Kashmir,KAS
カタール,Qatar,QAT
カナダ,Canada,CAN
カメルーン,Cameroon,CMR
カンボジア,Cambodia,KHM
ガーナ,Ghana,GHA
ガイアナ,Guyana,GUY
ガボン,Gabon,GAB
ガンビア,Gambia,GMB
北朝鮮,Democratic People's Republic of Korea,PRK
北マケドニア,NORTH MACEDONIA,MKD
北マリアナ諸島,Northern Mariana Islands,MNP
キプロス,Cyprus,CYP
キューバ,Cuba,CUB
キリバス,Kiribati,KIR
キルギス,Kyrgyzstan,KGZ
ギニア,Guinea,GIN
ギニアビサウ,Guinea-Bissau,GNB
ギリシャ,Greece,GRC
クウェート,Kuwait,KWT
クック諸島,Cook Islands,COK
クリスマス島,Christmas Island,CXR
クロアチア,Croatia,HRV
グアテマラ,Guatemala,GTM
グアドループ島,Guadeloupe,GLP
グアム,Guam,GUM
グリーンランド,Greenland,GRL
グレナダ,Grenada,GRD
ケイマン諸島,Cayman Islands,CYM
ケニア,Kenya,KEN
コートジボワール,Cote d'Ivoire,CIV
ココス諸島,Cocos Islands,CCK
コスタリカ,Costa Rica,CRI
コソボ,KOSOVO,KSV
コモロ連合,Comoros,COM
コロンビア,Colombia,COL
コンゴ共和国,Congo,COG
コンゴ民主共和国,Democratic Republic of the Congo,COD
サウジアラビア,Saudi Arabia,SAU
サモア,Samoa,WSM
サントメ・プリンシペ,Sao Tome and Principe,STP
サンピエール島・ミクロン島,Saint Pierre and Miquelon,SPM
サンマリノ,San Marino,SMR
ザンビア,Zambia,ZMB
シエラレオネ,Sierra Leone,SLE
シリア,Syrian Arab Republic,SYR
シンガポール,Singapore,SGP
ジブチ,Djibouti,DJI
スバールバル諸島・ヤンマイエン諸島,Svalbard and Jan Mayen,SJM
ジャマイカ,Jamaica,JAM
ジョージア,Georgia,GEO
ジョンストン島,Johnston Atoll,JON
ジンバブエ,Zimbabwe,ZWE
スーダン,Sudan,SDN
スイス,Switzerland,CHE
スウェーデン,Sweden,SWE
チャネル諸島,Channel Islands,CHI
スペイン,Spain,ESP
スリナム,Suriname,SUR
スリランカ,Sri Lanka,LKA
スロバキア,Slovakia,SVK
スロベニア,Slovenia,SVN
セイシェル,Seychelles,SYC
赤道ギニア,Equatorial Guinea,GNQ
セネガル,Senegal,SEN
セルビア,Serbia,SRB
セントクリストファー・ネイビス,Saint Kitts and Nevis,KNA
セントビンセント及びグレナディーン諸島,Saint Vincent and the Grenadines,VCT
セントヘレナ島,Saint Helena,SHN
セントルシア,Saint Lucia,LCA
ソマリア,Somalia,SOM
ソロモン諸島,Solomon Islands,SLB
タークス諸島・カイコス諸島,Turks and Caicos Islands,TCA
タイ,Thailand,THA
台湾,Taiwan,TWN
タジキスタン,Tajikistan,TJK
タンザニア,Tanzania,TZA
大韓民国,Korea,KOR
チェコ,Czech Republic,CZE
チャド,Chad,TCD
フェロー諸島,Faroe Islands,FRO
中央アフリカ,Central African Republic,CAF
中国,China,CHN
チュニジア,Tunisia,TUN
チリ,Chile,CHL
ツバル,Tuvalu,TUV
デンマーク,Denmark,DNK
トーゴ,Togo,TGO
トケラウ諸島,Tokelau,TKL
トリニダード・トバゴ,Trinidad and Tobago,TTO
トルクメニスタン,Turkmenistan,TKM
トルコ,Turkey,TUR
トンガ,Tonga,TON
ドイツ,Germany,DEU
ドミニカ共和国,Dominican Republic,DOM
ドミニカ国,Dominica,DMA
ナイジェリア,Nigeria,NGA
ナウル,Nauru,NRU
ナミビア,Namibia,NAM
南極大陸,Antarctica,ATA
ニウエ,Niue,NIU
ニカラグア,Nicaragua,NIC
西サハラ,Western Sahara,ESH
ニジェール,Niger,NER
ニューカレドニア,New Caledonia,NCL
ニュージーランド,New Zealand,NZL
ネパール,Nepal,NPL
ノーフォーク島,Norfolk Island,NFK
ノルウェー,Norway,NOR
ハイチ,Haiti,HTI
ハンガリー,Hungary,HUN
バーレーン,Bahrain,BHR
バチカン市国,Vatican City State,VAT
バヌアツ,Vanuatu,VUT
バハマ,Bahamas,BHS
バミューダ諸島,Bermuda,BMU
バルバドス,Barbados,BRB
バングラディシュ,Bangladesh,BGD
パキスタン,Pakistan,PAK
パナマ,Panama,PAN
パプアニューギニア,Papua New Guinea,PNG
パラオ,Palau,PLW
パラグアイ,Paraguay,PRY
パレスチナ,Palestinian Territory,PSE
東ティモール,Timor-Leste,TLS
ピトケアン島,Pitcairn,PCN
フィジー諸島,Fiji,FJI
フィリピン,Philippines,PHL
フィンランド,Finland,FIN
マン島,Isle of Man,IMN
フォークランド（マルビナス）諸島,Falkland Islands,FLK
フランス,France,FRA
フランス領ギアナ,French Guiana,GUF
フランス領ポリネシア,French Polynesia,PYF
ブータン,Bhutan,BTN
ブラジル,Brazil,BRA
ブルガリア,Bulgaria,BGR
ブルキナファソ,Burkina Faso,BFA
ブルネイ,Brunei Darussalam,BRN
ブルンジ,Burundi,BDI
プエルトリコ,Puerto Rico,PRI
米国,United States of America,USA
米領サモア,American Samoa,ASM
米領バージン諸島,"Virgin Islands, U.S.",VIR
ベトナム,Viet Nam,VNM
ベナン,Benin,BEN
ベネズエラ,Venezuela,VEN
ベラルーシ,Belarus,BLR
ベリーズ,Belize,BLZ
ベルギー,Belgium,BEL
ペルー,Peru,PER
香港,Hong Kong,HKG
ホンジュラス,Honduras,HND
ボスニア・ヘルツェゴビナ,Bosnia and Herzegovina,BIH
ボツワナ,Botswana,BWA
ボリビア,Bolivia,BOL
ポーランド,Poland,POL
ポルトガル,Portugal,PRT
マーシャル諸島,Marshall Islands,MHL
マイヨット島,Mayotte,MYT
マカオ,Macao,MAC
マダガスカル,Madagascar,MDG
マラウイ,Malawi,MWI
マリ,Mali,MLI
マルタ,Malta,MLT
マルチニーク島,Martinique,MTQ
マレーシア,Malaysia,MYS
ミクロネシア連邦,Micronesia,FSM
ミッドウェー諸島,Midway Atoll,MID
南アフリカ,South Africa,ZAF
南スーダン,SOUTH SUDAN,SSD
ミャンマー,Myanmar,MMR
メキシコ,Mexico,MEX
モーリシャス,Mauritius,MUS
モーリタニア,Mauritania,MRT
モザンビーク,Mozambique,MOZ
モナコ,Monaco,MCO
モルディブ,Maldives,MDV
モルドバ,Moldova,MDA
モロッコ,Morocco,MAR
モンゴル,Mongolia,MNG
モンセラット,Montserrat,MSR
モンテネグロ,Montenegro,MNE
ヨルダン,Jordan,JOR
ラオス,Lao,LAO
ラトビア,Latvia,LVA
リトアニア,Lithuania,LTU
リヒテンシュタイン,Liechtenstein,LIE
リビア,Libyan Arab Jamahiriya,LBY
リベリア,Liberia,LBR
ルーマニア,Romania,ROU
ジブラルタル,Gibraltar,GIB
ルクセンブルク,Luxembourg,LUX
ルワンダ,Rwanda,RWA
レソト,Lesotho,LSO
レバノン,Lebanon,LBN
レユニオン,Reunion,REU
ロシア,Russian Federation,RUS
ワリス・フテュナ諸島,Wallis and Futuna,WLF
その他の国・地域,,ZZZ
